playerid,salary,rookie,position,games,rbi,avg
862,4250000,0,2,151,49,0.246
863,975000,0,6,58,16,0.193
864,12000000,0,9,153,97,0.264
865,16600000,0,3,83,29,0.264
866,1000000,0,7,127,31,0.276
868,7500000,0,2,133,65,0.257
870,400000,0,2,52,15,0.225
873,8875000,0,9,155,64,0.306
874,2937500,0,4,141,78,0.261
875,12000000,0,5,113,54,0.286
877,8050000,0,10,57,24,0.197
878,9516697,0,6,55,28,0.264
881,6100000,0,5,152,81,0.274
883,12500000,0,7,115,100,0.314
884,9600000,0,8,152,70,0.271
885,1300000,0,3,116,37,0.273
886,2250000,0,10,28,13,0.263
888,480000,0,8,146,58,0.293
893,5000000,0,3,136,85,0.27
896,4000000,0,3,88,39,0.267
898,6000000,0,7,154,101,0.286
900,400000,1,9,17,3,0.227
902,3550000,0,6,145,61,0.237
904,3000000,0,3,144,115,0.312
905,1300000,0,10,140,78,0.272
906,8400000,0,3,163,129,0.3
915,415000,0,2,97,36,0.263
916,1225000,0,7,43,14,0.244
919,427000,0,8,96,22,0.254
920,411000,1,4,110,33,0.274
926,412500,0,2,119,54,0.295
928,401500,0,7,31,13,0.275
929,401500,0,8,35,10,0.241
934,2337500,0,9,149,59,0.255
936,705000,0,2,62,23,0.238
940,410000,0,4,54,20,0.263
942,455000,0,9,157,87,0.306
944,400000,0,7,130,100,0.288
947,432500,0,7,64,7,0.194
